"n","p","b_0","b_1","sigbsq","PQL_b_0","Laplace_b_0","nAGQ_4_b_0","nAGQ_10_b_0","nAGQ_25_b_0","b_0_PQL_bias","b_0_Laplace_bias","b_0_4_bias","b_0_10_bias","b_0_25_bias","PQL_b_1","Laplace_b_1","nAGQ_4_b_1","nAGQ_10_b_1","nAGQ_25_b_1","b_1_PQL_bias","b_1_Laplace_bias","b_1_4_bias","b_1_10_bias","b_1_25_bias"
40,100,-2,-0.5,1,-1.893397931182,-1.92781310159608,-1.92881598429937,-1.92877490174861,-1.92877490174861,0.106602068818002,0.0721868984039244,0.0711840157006325,0.0712250982513876,0.0712250982513876,-0.646648176681435,-0.668385340992885,-0.668498477112993,-0.668480080440907,-0.668480080440907,-0.146648176681435,-0.168385340992885,-0.168498477112993,-0.168480080440907,-0.168480080440907
40,100,-2,-0.5,1,-1.87965158660011,-1.92123507364769,-1.92231430333472,-1.92224666116318,-1.92224579704113,0.120348413399891,0.0787649263523127,0.0776856966652835,0.0777533388368172,0.0777542029588747,-0.366734038456378,-0.381259823283576,-0.381484346709914,-0.381404378216813,-0.381411244990528,0.133265961543622,0.118740176716424,0.118515653290086,0.118595621783187,0.118588755009472
40,100,-2,-0.5,1,-1.90171721630748,-1.93928867520247,-1.94040733516835,-1.94037491020953,-1.94037514189672,0.0982827836925249,0.0607113247975333,0.0595926648316534,0.0596250897904667,0.0596248581032754,-0.8273558447879,-0.8624892159394,-0.863417068697002,-0.863263662922579,-0.863261409958602,-0.3273558447879,-0.3624892159394,-0.363417068697002,-0.363263662922579,-0.363261409958602
40,100,-2,-0.5,1,-2.1028128250921,-2.14827518603107,-2.14980399116386,-2.14969130981306,-2.14966049900362,-0.1028128250921,-0.148275186031065,-0.149803991163855,-0.149691309813059,-0.149660499003621,-0.664039482542019,-0.697909731464629,-0.699141611065656,-0.698828632105018,-0.698851200873982,-0.164039482542019,-0.197909731464629,-0.199141611065656,-0.198828632105018,-0.198851200873982
40,100,-2,-0.5,1,-2.06827215924033,-2.11545303322424,-2.11675121612366,-2.11665100463132,-2.11663962916081,-0.0682721592403324,-0.115453033224244,-0.116751216123656,-0.116651004631322,-0.11663962916081,-0.236906881917522,-0.247871755815899,-0.248067010366983,-0.248043616722143,-0.248062264946416,0.263093118082478,0.252128244184101,0.251932989633017,0.251956383277857,0.251937735053584
40,100,-2,-0.5,1,-2.11037707659428,-2.13909742340749,-2.13987610457359,-2.13984968405473,-2.13984433364542,-0.110377076594284,-0.139097423407493,-0.139876104573585,-0.139849684054727,-0.139844333645418,-0.46270013500949,-0.475141075046537,-0.475211697246906,-0.47523258141846,-0.475218506289605,0.0372998649905102,0.0248589249534629,0.024788302753094,0.0247674185815397,0.024781493710395
40,100,-2,-0.5,1,-2.09064208034783,-2.13400416428977,-2.13524348635999,-2.13522181498286,-2.13522181498286,-0.0906420803478287,-0.134004164289772,-0.135243486359985,-0.135221814982859,-0.135221814982859,-0.615333679534084,-0.639785107937741,-0.640123243935881,-0.640035031097221,-0.640035031097221,-0.115333679534084,-0.139785107937741,-0.140123243935881,-0.140035031097221,-0.140035031097221
40,100,-2,-0.5,1,-2.06180463855845,-2.10419348950269,-2.10570565678868,-2.10561246792823,-2.10559079495265,-0.0618046385584519,-0.104193489502687,-0.105705656788684,-0.105612467928226,-0.105590794952649,-0.297941989413487,-0.307961401099564,-0.30772584032052,-0.307737380525182,-0.307762098063275,0.202058010586513,0.192038598900436,0.19227415967948,0.192262619474818,0.192237901936725
40,100,-2,-0.5,1,-1.99455203616646,-2.0352914429892,-2.03621816934694,-2.03618747052657,-2.0361920919057,0.0054479638335414,-0.0352914429892,-0.0362181693469399,-0.0361874705265697,-0.0361920919056997,-0.0754197094453369,-0.0802624189906808,-0.0804733366018158,-0.0804424392147473,-0.0804422220585055,0.424580290554663,0.419737581009319,0.419526663398184,0.419557560785253,0.419557777941494
40,100,-2,-0.5,1,-1.87900246038149,-1.9137885017239,-1.91450032823776,-1.91450780422458,-1.91450541891709,0.12099753961851,0.086211498276098,0.0854996717622396,0.08549219577542,0.0854945810829062,-0.351753731670933,-0.361330778144644,-0.361343089070343,-0.361303024284279,-0.361315286101915,0.148246268329067,0.138669221855356,0.138656910929657,0.138696975715721,0.138684713898085
40,100,-2,-0.5,1,-1.53605543651811,-1.56014433768566,-1.56055439570686,-1.56055444867197,-1.56055444867197,0.463944563481891,0.439855662314339,0.439445604293142,0.439445551328027,0.439445551328027,-0.669248654999557,-0.687784013136824,-0.687946172046975,-0.687928562931654,-0.687928562931654,-0.169248654999557,-0.187784013136824,-0.187946172046975,-0.187928562931654,-0.187928562931654
40,100,-2,-0.5,1,-1.52353933165158,-1.55851397720089,-1.55910745322527,-1.55907328106154,-1.5590954684182,0.476460668348421,0.441486022799114,0.440892546774727,0.44092671893846,0.440904531581798,-0.921002728094447,-0.954124639187517,-0.954727221775802,-0.954686918161869,-0.954674317186377,-0.421002728094447,-0.454124639187517,-0.454727221775802,-0.454686918161869,-0.454674317186377
40,100,-2,-0.5,1,-2.16807072836636,-2.22309902075625,-2.22461253592389,-2.22453205636275,-2.2245283646518,-0.168070728366355,-0.223099020756245,-0.224612535923888,-0.224532056362746,-0.224528364651801,-0.283877866461322,-0.294842426269055,-0.294909286640641,-0.29478908964589,-0.294759984087979,0.216122133538678,0.205157573730945,0.205090713359359,0.20521091035411,0.205240015912021
40,100,-2,-0.5,1,-1.84683313062163,-1.87674240365571,-1.87730112985611,-1.87730396368454,-1.87730396368454,0.153166869378375,0.123257596344287,0.122698870143887,0.122696036315459,0.122696036315459,-0.241646610159897,-0.247998806020876,-0.248164833465731,-0.248154496919075,-0.248154496919075,0.258353389840103,0.252001193979124,0.251835166534269,0.251845503080925,0.251845503080925
40,100,-2,-0.5,1,-1.7498722463829,-1.77598218318173,-1.77652736819169,-1.77652175995194,-1.77652175995194,0.250127753617098,0.224017816818266,0.223472631808306,0.223478240048061,0.223478240048061,-0.50094293707837,-0.513765517287455,-0.513802751320043,-0.513797939535014,-0.513797939535014,-0.000942937078369677,-0.0137655172874549,-0.0138027513200429,-0.0137979395350136,-0.0137979395350136
40,100,-2,-0.5,1,-1.89498701170148,-1.92803381106656,-1.9287848782028,-1.92875428675854,-1.92875428675854,0.10501298829852,0.0719661889334429,0.0712151217971999,0.0712457132414634,0.0712457132414634,-0.544110168332213,-0.563591001914912,-0.564017005798651,-0.5639832951805,-0.5639832951805,-0.0441101683322134,-0.0635910019149115,-0.0640170057986511,-0.0639832951805004,-0.0639832951805004
40,100,-2,-0.5,1,-2.03514399671497,-2.07680724058448,-2.07799807574537,-2.07795136832709,-2.07795363810888,-0.0351439967149743,-0.0768072405844773,-0.0779980757453727,-0.0779513683270876,-0.0779536381088839,-0.524143994143453,-0.545315330648164,-0.545805463501916,-0.545746671561143,-0.545746972387294,-0.0241439941434526,-0.0453153306481635,-0.0458054635019161,-0.045746671561143,-0.0457469723872939
40,100,-2,-0.5,1,-2.5621770711725,-2.63074502588526,-2.63326087311265,-2.6330208239209,-2.63301566642984,-0.562177071172501,-0.630745025885264,-0.633260873112651,-0.633020823920905,-0.633015666429845,-0.0295607014798115,-0.0281040628081578,-0.027708423393809,-0.0277693092762194,-0.0277818752775081,0.470439298520189,0.471895937191842,0.472291576606191,0.472230690723781,0.472218124722492
40,100,-2,-0.5,1,-1.77006605230914,-1.80357726227488,-1.80493798712651,-1.80490441686217,-1.80490441686217,0.22993394769086,0.196422737725123,0.195062012873489,0.195095583137833,0.195095583137833,-1.13496069363479,-1.17905382155238,-1.17933414997221,-1.17924934836254,-1.17924934836254,-0.634960693634787,-0.67905382155238,-0.679334149972211,-0.679249348362536,-0.679249348362536
40,100,-2,-0.5,1,-2.32695473353819,-2.37419968155344,-2.37540538189276,-2.37535901277842,-2.37535901277842,-0.326954733538189,-0.374199681553438,-0.375405381892757,-0.375359012778419,-0.375359012778419,-0.287860854453475,-0.301109400121835,-0.301573280465377,-0.301566289496429,-0.301566289496429,0.212139145546525,0.198890599878165,0.198426719534623,0.198433710503571,0.198433710503571
40,100,-2,-0.5,1,-2.0009929212698,-2.0436696592457,-2.0446970389024,-2.04468353322755,-2.04469070733658,-0.000992921269804548,-0.0436696592457002,-0.0446970389023962,-0.0446835332275528,-0.0446907073365805,-0.540393189365608,-0.566621601390411,-0.567310040488676,-0.567199510265637,-0.56717259434241,-0.0403931893656077,-0.0666216013904106,-0.0673100404886764,-0.0671995102656369,-0.06717259434241
40,100,-2,-0.5,1,-1.88599496356124,-1.91640638311182,-1.91682592195364,-1.91682733423279,-1.91682733423279,0.114005036438764,0.0835936168881812,0.0831740780463623,0.0831726657672149,0.0831726657672149,-0.174243369232669,-0.179944661090409,-0.180197075822708,-0.180170011426101,-0.180170011426101,0.325756630767331,0.320055338909591,0.319802924177292,0.319829988573899,0.319829988573899
40,100,-2,-0.5,1,-1.70700009789422,-1.74090260732697,-1.74165982848401,-1.741668320338,-1.741668320338,0.292999902105782,0.259097392673028,0.258340171515993,0.258331679661997,0.258331679661997,-0.499142639308687,-0.514870595679672,-0.515054149622958,-0.51503345459481,-0.51503345459481,0.000857360691313203,-0.0148705956796722,-0.0150541496229584,-0.0150334545948103,-0.0150334545948103
40,100,-2,-0.5,1,-2.04469232424072,-2.08287042834902,-2.08374486370508,-2.08372609959436,-2.08372557263777,-0.0446923242407204,-0.08287042834902,-0.0837448637050837,-0.0837260995943581,-0.0837255726377686,-0.55701504488701,-0.581092526784637,-0.581979339497728,-0.581897423150933,-0.581895707780313,-0.0570150448870104,-0.0810925267846365,-0.081979339497728,-0.0818974231509326,-0.0818957077803126
40,100,-2,-0.5,1,-2.33057800746794,-2.37645414392341,-2.37764543609307,-2.37758996778253,-2.37758996778253,-0.330578007467938,-0.376454143923413,-0.377645436093071,-0.37758996778253,-0.37758996778253,-0.121829622213623,-0.126865595970425,-0.126942335077788,-0.126955279602049,-0.126955279602049,0.378170377786377,0.373134404029575,0.373057664922212,0.373044720397951,0.373044720397951
40,100,-2,-0.5,1,-2.36049420531563,-2.40375416541052,-2.40480498102964,-2.40476201269513,-2.40476201269513,-0.360494205315627,-0.403754165410516,-0.404804981029643,-0.40476201269513,-0.40476201269513,-0.370492853110072,-0.383272957816153,-0.384305316882913,-0.384261919727031,-0.384261919727031,0.129507146889928,0.116727042183847,0.115694683117087,0.115738080272969,0.115738080272969
40,100,-2,-0.5,1,-2.47564397403915,-2.52843358569138,-2.52972104690203,-2.52967688141802,-2.52967688141802,-0.475643974039149,-0.528433585691382,-0.529721046902033,-0.529676881418015,-0.529676881418015,0.290749528388479,0.301395161917908,0.301520644148113,0.301518234471388,0.301518234471388,0.790749528388479,0.801395161917908,0.801520644148113,0.801518234471388,0.801518234471388
40,100,-2,-0.5,1,-1.89456762526064,-1.92896854487416,-1.92970753217448,-1.92971298258758,-1.92970973053838,0.105432374739356,0.0710314551258402,0.0702924678255166,0.0702870174124217,0.0702902694616232,-0.616303778858769,-0.642591527919676,-0.643457313863875,-0.643338249302725,-0.643330611905781,-0.116303778858769,-0.142591527919676,-0.143457313863875,-0.143338249302725,-0.143330611905781
40,100,-2,-0.5,1,-1.98302596649028,-2.01952137167643,-2.02037534832444,-2.02035350127436,-2.02035350127436,0.0169740335097184,-0.0195213716764293,-0.0203753483244391,-0.0203535012743599,-0.0203535012743599,-0.191895249832979,-0.199303457721187,-0.19944852332678,-0.199431504662644,-0.199431504662644,0.308104750167021,0.300696542278813,0.30055147667322,0.300568495337356,0.300568495337356
40,100,-2,-0.5,1,-1.44281108989131,-1.46824198785202,-1.468773530945,-1.46875691770554,-1.46875691770554,0.557188910108688,0.531758012147977,0.531226469054995,0.53124308229446,0.53124308229446,-0.770393567647147,-0.794778399563619,-0.795161401843433,-0.795122819792455,-0.795122819792455,-0.270393567647147,-0.294778399563619,-0.295161401843433,-0.295122819792455,-0.295122819792455
40,100,-2,-0.5,1,-1.87123464365098,-1.89933823222889,-1.89979659693315,-1.89981445467432,-1.89981445467432,0.128765356349022,0.100661767771112,0.10020340306685,0.100185545325676,0.100185545325676,-0.232967606615719,-0.2398421697382,-0.239999373072501,-0.23999457426664,-0.23999457426664,0.267032393384281,0.2601578302618,0.260000626927499,0.26000542573336,0.26000542573336
