"n","p","b_0","b_1","sigbsq","PQL_b_0","Laplace_b_0","nAGQ_4_b_0","nAGQ_10_b_0","nAGQ_25_b_0","b_0_PQL_bias","b_0_Laplace_bias","b_0_4_bias","b_0_10_bias","b_0_25_bias","PQL_b_1","Laplace_b_1","nAGQ_4_b_1","nAGQ_10_b_1","nAGQ_25_b_1","b_1_PQL_bias","b_1_Laplace_bias","b_1_4_bias","b_1_10_bias","b_1_25_bias"
40,100,-2,-2,1,-2.14173746612101,-2.17834441746128,-2.17983721712501,-2.17976066190604,-2.179756721851,-0.141737466121012,-0.178344417461279,-0.179837217125008,-0.179760661906042,-0.179756721850998,-1.27679603061812,-1.33439445182258,-1.33604779663077,-1.33590568136209,-1.3359010410341,0.723203969381876,0.665605548177419,0.663952203369229,0.66409431863791,0.6640989589659
40,100,-2,-2,1,-2.00949334398213,-2.04925103840952,-2.0509114082835,-2.05078317973473,-2.05077588076046,-0.00949334398212587,-0.0492510384095226,-0.0509114082834987,-0.0507831797347293,-0.0507758807604564,-1.59605346006755,-1.68415543620209,-1.68681786667186,-1.68634119439628,-1.6863394026465,0.403946539932447,0.315844563797905,0.313182133328138,0.313658805603724,0.3136605973535
40,100,-2,-2,1,-2.15765052390107,-2.19465417657287,-2.19764171057114,-2.19735290931788,-2.19734419763525,-0.157650523901074,-0.194654176572866,-0.197641710571144,-0.19735290931788,-0.197344197635247,-1.65072355445886,-1.7494004590717,-1.75100005073092,-1.75082094611604,-1.75082867748707,0.349276445541143,0.250599540928303,0.248999949269076,0.24917905388396,0.249171322512933
40,100,-2,-2,1,-1.97635323798115,-2.0058429010282,-2.00690232142057,-2.00681280629675,-2.00681897372113,0.0236467620188505,-0.00584290102820084,-0.00690232142057123,-0.00681280629674852,-0.0068189737211295,-1.77524359949067,-1.84895010308576,-1.85082435460098,-1.85075085213123,-1.85072666970441,0.224756400509329,0.151049896914239,0.149175645399023,0.149249147868775,0.149273330295593
40,100,-2,-2,1,-2.30986664772874,-2.34994508369936,-2.35110172315109,-2.35075899342632,-2.350756818999,-0.309866647728739,-0.349945083699361,-0.351101723151093,-0.350758993426318,-0.350756818999003,-1.9317752718419,-2.04580602445589,-2.0416941941524,-2.04028624269132,-2.04029065410028,0.0682247281581041,-0.0458060244558869,-0.0416941941523978,-0.0402862426913195,-0.0402906541002848
40,100,-2,-2,1,-2.06148264139545,-2.09686437051593,-2.09840737897233,-2.09827214635455,-2.09829065927422,-0.0614826413954455,-0.0968643705159282,-0.0984073789723272,-0.0982721463545539,-0.0982906592742223,-1.55988058415284,-1.6370818314599,-1.63933338129694,-1.63915166269512,-1.63913010950402,0.440119415847162,0.362918168540099,0.360666618703064,0.360848337304878,0.360869890495979
40,100,-2,-2,1,-2.21180353912996,-2.24958123292879,-2.25098855535387,-2.25092853982644,-2.25091586675548,-0.211803539129962,-0.249581232928786,-0.250988555353874,-0.250928539826444,-0.250915866755478,-1.25987404707305,-1.31082318612685,-1.31244396577291,-1.31235150364998,-1.31236915089187,0.740125952926952,0.689176813873145,0.68755603422709,0.687648496350016,0.687630849108134
40,100,-2,-2,1,-2.15794710115154,-2.19804953561979,-2.19987719346616,-2.19972642311591,-2.19972103296128,-0.157947101151545,-0.198049535619786,-0.199877193466159,-0.199726423115907,-0.199721032961279,-1.56268061620463,-1.64366975678619,-1.64660085883988,-1.64630829266114,-1.64628557629764,0.437319383795375,0.35633024321381,0.353399141160124,0.353691707338858,0.353714423702364
40,100,-2,-2,1,-1.9765230336429,-2.01829246962976,-2.02032317364077,-2.02024342974746,-2.0202665918806,0.0234769663570971,-0.0182924696297606,-0.0203231736407696,-0.0202434297474596,-0.0202665918805973,-1.64329735092732,-1.73260177310034,-1.7333971153135,-1.73318792330954,-1.73314351251851,0.356702649072685,0.267398226899656,0.266602884686502,0.266812076690464,0.266856487481494
40,100,-2,-2,1,-2.18296952646627,-2.22073166601316,-2.22376382303992,-2.22339013639778,-2.22338013202174,-0.182969526466265,-0.220731666013163,-0.223763823039923,-0.223390136397781,-0.223380132021739,-1.63589894041293,-1.72927585509151,-1.73204479001054,-1.73169025935965,-1.73168156266108,0.364101059587072,0.270724144908491,0.267955209989463,0.268309740640353,0.268318437338916
40,100,-2,-2,1,-2.21637392327236,-2.25572073197819,-2.25794064672757,-2.25769755946797,-2.2576993122406,-0.21637392327236,-0.255720731978195,-0.257940646727572,-0.257697559467973,-0.257699312240597,-1.60352362358961,-1.6887343338866,-1.69142804905835,-1.69114447938158,-1.69114718073711,0.396476376410389,0.311265666113403,0.308571950941648,0.30885552061842,0.308852819262888
40,100,-2,-2,1,-1.68373756411301,-1.70544500571275,-1.70618400771781,-1.70611464689701,-1.70611464689701,0.316262435886993,0.29455499428725,0.293815992282187,0.293885353102993,0.293885353102993,-2.06731147783504,-2.14639125204577,-2.14731775401614,-2.14729495220189,-2.14729495220189,-0.0673114778350428,-0.14639125204577,-0.147317754016144,-0.147294952201888,-0.147294952201888
40,100,-2,-2,1,-2.06117130246984,-2.09928263708776,-2.10205339228407,-2.10165459961411,-2.10163644746878,-0.0611713024698388,-0.0992826370877564,-0.102053392284074,-0.101654599614111,-0.101636447468777,-1.80440150208468,-1.90813490334271,-1.91166532080838,-1.91108574269703,-1.91106083074141,0.195598497915315,0.0918650966572865,0.088334679191624,0.0889142573029735,0.088939169258593
